
* Processing the grid command...
* Setting nx to 601 to be consistent with h=50
* Setting ny to 601 to be consistent with h=50
* Setting nz to 341 to be consistent with h=50

Global grid sizes (without ghost points)
Grid         h        Nx        Ny        Nz       Points
   0        50       601       601       341    123169541
Total number of grid points (without ghost points): 1.2317e+08

Done reading input file 
 no GPUs found
----------------------------------------------------
 Making Output Directory: loh1-results/
		
... Done!
----------------------------------------------------
number of grid point  sources = 216
number of unique g.p. sources = 216
setup of sources done
Running on 256 MPI tasks
Using OpenMP with 1 thread per MPI task
starting at time 0 at cycle 1
Time step 1 t= 0.0083877
Time step 101 t= 0.847158
Time step 201 t= 1.68593
Time step 301 t= 2.5247
Time step 401 t= 3.36347
Time step 501 t= 4.20224
Time step 601 t= 5.04101
Time step 701 t= 5.87978
Time step 801 t= 6.71855
Time step 901 t= 7.55732
Writing ASCII USGS file, of size 1001: loh1-results/sta10.txt
Time step 1001 t= 8.39609
Time step 1073 t= 9
   Execution time, solver phase 3 minutes 59.4834 seconds 
Writing ASCII USGS file, of size 1074: loh1-results/sta10.txt

----------------------------------------
          Execution time summary 
Processor  Total      BC comm    BC phys    Scheme     Supergrid  Forcing 
0          237.47     31.38      3.9057     141.53     30.189     8.5482     
1          237.47     15.271     2.9831     158.86     29.751     8.4865     
2          237.47     23.508     2.8431     150.9      30.008     8.0989     
3          237.47     22.757     2.8513     151.61     29.867     7.8868     
4          237.47     30.581     2.928      141.29     31.639     8.2464     
5          237.47     15.865     2.9347     157.84     29.659     8.3457     
6          237.47     22.857     2.9274     150.49     30.069     8.2413     
7          237.47     22.692     2.7495     151.39     29.938     7.9902     
8          237.47     31.307     2.6445     141.22     31.37      8.1833     
9          237.47     18.453     2.6214     155.91     28.824     8.1475     
10         237.47     23.462     2.5843     147.83     29.072     7.9711     
11         237.47     22.853     2.5789     148.46     29.124     7.6831     
12         237.47     32.041     2.6807     136.99     30.835     7.8982     
13         237.47     15.666     2.5992     155.57     28.784     8.0709     
14         237.47     22.986     2.5844     148.05     28.952     8.1148     
15         237.47     21.644     3.4823     148.22     29.114     7.9351     
16         237.47     31.852     1.6991     150.8      29.364     8.3315     
17         237.47     32.275     0.70377    150.99     29.635     8.3307     
18         237.47     32.604     0.66672    150.54     29.954     8.1377     
19         237.47     31.427     0.70123    151.33     29.914     7.829      
20         237.47     36.923     0.70065    141.15     31.458     8.0421     
21         237.47     20.624     0.66392    158.33     29.881     8.2483     
22         237.47     27.976     0.65678    150.62     29.851     8.287      
23         237.47     26.789     0.68857    151.45     29.958     7.8229     
24         237.47     34.151     0.67834    141.13     31.253     8.1302     
25         237.47     22.897     0.64164    154.29     29.22      8.1193     
26         237.47     31.364     0.63066    145.76     29.13      8.0155     
27         237.47     28.327     0.67084    148.55     29.026     7.6419     
28         237.47     36.65      0.69204    136.86     30.727     7.9555     
29         237.47     26.079     0.64477    149.52     28.802     8.1487     
30         237.47     27.316     0.64021    148.08     28.958     8.1993     
31         237.47     25.886     1.4896     148.45     29.055     7.9801     
32         237.47     52.097     1.6371     139.41     29.562     8.5761     
33         237.47     34.453     0.72519    157.49     29.718     8.5717     
34         237.47     50.274     0.67229    142.2      29.385     8.3236     
35         237.47     35.594     0.69912    155.78     29.733     8.2672     
36         237.47     46.925     0.6842     140.66     31.814     8.6323     
37         237.47     32.072     0.68214    157.15     29.842     8.6365     
38         237.47     46.199     0.68742    143.22     29.492     8.5855     
39         237.47     33.331     0.67908    155.83     29.887     8.6004     
40         237.47     47.591     0.66322    140.51     30.911     8.6845     
41         237.47     39.791     0.67659    150.52     28.727     8.6322     
42         237.47     41.893     0.66196    147.61     29.253     8.2066     
43         237.47     40.561     0.66031    146.2      28.907     7.9405     
44         237.47     47.158     0.66331    136.31     30.652     8.4909     
45         237.47     30.313     0.66151    155        28.831     8.4989     
46         237.47     37.378     0.68873    148.04     28.695     8.465      
47         237.47     36.259     1.578      147.94     28.847     8.4619     
48         237.47     55.72      1.5133     139.03     32.701     8.2534     
49         237.47     41.357     0.72399    156.92     29.705     8.1703     
50         237.47     49.542     0.64688    148.76     29.83      7.6528     
51         237.47     48.681     0.69092    149.06     29.855     7.4307     
52         237.47     50.872     0.67559    140.24     31.258     9.1454     
53         237.47     34.576     0.68402    157.6      29.902     9.1482     
54         237.47     43.481     0.68966    149.65     29.813     8.1511     
55         237.47     43.75      0.67346    149.59     29.774     8.1584     
56         237.47     51.764     0.67692    140.29     30.811     8.4149     
57         237.47     38.992     0.66029    154.97     29.032     8.2496     
58         237.47     47.811     0.65835    146.5      28.575     7.6306     
59         237.47     43.816     0.66665    147.22     28.561     7.5396     
60         237.47     50.98      0.68026    135.94     30.731     8.6238     
61         237.47     35.445     0.67309    153.46     28.772     8.6276     
62         237.47     41.966     0.68929    147.57     28.855     7.832      
63         237.47     40.696     1.5984     147.73     28.833     7.8144     
64         237.47     32.005     1.7614     162.87     30.821     9.0802     
65         237.47     34.137     0.72486    162.21     30.665     9.1315     
66         237.47     35.38      0.71354    161.91     30.884     7.9182     
67         237.47     33.291     0.72119    162.85     30.955     7.8681     
68         237.47     29.063     0.70668    164.22     31.084     8.7896     
69         237.47     29.65      0.7285     163.58     30.969     8.8168     
70         237.47     29.622     0.70892    163.35     30.95      8.7757     
71         237.47     29.959     0.69337    163.47     30.956     8.7337     
72         237.47     30.22      0.68868    163.67     31.114     8.7936     
73         237.47     35.007     0.7045     159.39     30.689     8.6589     
74         237.47     34.948     0.69249    158        30.552     8.9146     
75         237.47     30.007     0.68107    159.79     30.732     8.2838     
76         237.47     28.876     0.68269    160.09     30.6       8.5749     
77         237.47     28.814     0.68544    160.16     30.647     8.5699     
78         237.47     29.143     0.70042    159.42     30.674     8.8223     
79         237.47     27.723     1.5968     159.83     30.881     8.3832     
80         237.47     26.436     1.5851     164.79     31.39      8.8245     
81         237.47     27.703     0.72271    164.74     31.317     8.3859     
82         237.47     28.03      0.66992    164.37     31.29      8.4747     
83         237.47     27.625     0.67146    164.18     31.274     8.65       
84         237.47     25.809     0.67131    165.1      31.505     8.5424     
85         237.47     26.164     0.68432    164.53     31.367     8.5495     
86         237.47     26.258     0.67662    164.41     31.289     8.3351     
87         237.47     26.651     0.6773     163.69     31.281     8.7908     
88         237.47     25.869     0.67549    164.68     31.231     8.6732     
89         237.47     30.834     0.68068    159.81     31.021     8.5163     
90         237.47     30.977     0.68716    158.15     31.151     8.942      
91         237.47     27.992     0.66044    160        31.543     7.4183     
92         237.47     26.177     0.66101    159.84     31.394     8.3602     
93         237.47     25.831     0.65731    160.08     31.495     8.3919     
94         237.47     28.054     0.67444    158.01     31.513     8.1328     
95         237.47     26.691     1.536      158.53     31.435     8.0464     
96         237.47     23.837     1.515      164.09     31.996     8.1854     
97         237.47     24.136     0.73849    164.26     32.063     8.1094     
98         237.47     23.743     0.67775    164.67     31.961     8.3375     
99         237.47     24.011     0.66252    164.51     31.944     8.3416     
100        237.47     23.052     0.66794    165.38     31.96      8.4219     
101        237.47     23.758     0.66857    164.78     31.835     8.4263     
102        237.47     24.012     0.65682    164.46     31.868     8.2965     
103        237.47     23.122     0.66968    164.36     32.063     8.2531     
104        237.47     23.239     0.64903    164.07     32.245     7.8948     
105        237.47     28.082     0.67544    158.45     32.655     7.6419     
106        237.47     27.724     0.63547    157.02     32.771     7.8926     
107        237.47     26.289     0.65384    157.04     32.725     7.9307     
108        237.47     25.531     0.69573    157.45     32.331     7.991      
109        237.47     25.686     0.64562    157.45     32.41      8.0486     
110        237.47     25.887     0.64735    157.31     32.311     8.0632     
111        237.47     23.924     1.5236     158.04     32.372     7.9891     
112        237.47     28.074     1.7295     163.61     31.143     8.8227     
113        237.47     28.785     0.77456    163.78     30.984     8.8099     
114        237.47     29.987     0.70092    163.11     31.037     8.6585     
115        237.47     30.122     0.69098    163.03     31.055     8.6718     
116        237.47     28.632     0.68288    164.3      31.263     8.736      
117        237.47     29.706     0.69397    163.35     31.109     8.7428     
118        237.47     30.212     0.68615    163.04     30.949     8.6612     
119        237.47     29.548     0.69044    163.2      30.954     8.78       
120        237.47     28.165     0.67052    163.82     31.04      8.8219     
121        237.47     32.988     0.71101    159.12     30.746     8.2447     
122        237.47     31.609     0.66189    157.86     31.074     8.7139     
123        237.47     30.186     0.65621    158.84     31.238     7.9098     
124        237.47     28.967     0.67732    160        30.661     8.4947     
125        237.47     28.787     0.67642    160.05     30.789     8.4982     
126        237.47     30.248     0.66376    157.86     31.106     8.5699     
127        237.47     28.58      1.5761     158.75     31.165     8.0115     
128        237.47     51.3       1.5325     140.32     29.684     8.3294     
129        237.47     52.055     0.72567    140.31     29.583     8.2176     
130        237.47     53.104     0.67079    139.97     29.138     8.036      
131        237.47     53.464     0.66367    139.86     29.145     8.0342     
132        237.47     51.903     0.66633    140.85     29.409     8.3742     
133        237.47     52.716     0.65999    140.16     29.339     8.3759     
134        237.47     53.225     0.64827    140        29.113     8.2064     
135        237.47     52.808     0.66633    139.76     29.137     8.1994     
136        237.47     52.114     0.64922    140.06     29.247     7.9301     
137        237.47     55.199     0.67279    137.11     28.628     7.5397     
138        237.47     55.177     0.64259    136.28     28.283     7.5466     
139        237.47     55.001     0.66896    135.77     28.341     7.7132     
140        237.47     54.58      0.66363    135.93     28.248     7.9175     
141        237.47     54.508     0.6367     135.93     28.115     7.8211     
142        237.47     54.626     0.64467    135.8      28.23      7.6674     
143        237.47     53.366     1.5392     135.89     28.04      7.4728     
144        237.47     47.807     1.4828     140.41     29.082     7.9262     
145        237.47     48.301     0.70503    140.49     29.097     7.8302     
146        237.47     47.82      0.6609     140.96     28.936     8.0875     
147        237.47     48.743     0.64796    140.58     28.931     8.1726     
148        237.47     49.078     0.63628    140.65     28.832     7.9883     
149        237.47     49.125     0.64962    140.46     28.932     7.9943     
150        237.47     48.414     0.64961    140.36     29.023     8.4271     
151        237.47     47.467     0.65368    140.57     28.978     8.3322     
152        237.47     47.997     0.64268    140.21     28.954     7.9205     
153        237.47     50.874     0.66152    137.44     28.447     7.6478     
154        237.47     49.305     0.62799    137.48     28.187     7.8924     
155        237.47     48.449     0.65018    137.05     28.189     7.9587     
156        237.47     47.399     0.68335    137.35     28.155     7.9993     
157        237.47     47.317     0.62863    137.51     28.233     8.045      
158        237.47     47.106     0.64399    137.63     28.065     8.2662     
159        237.47     45.578     1.5498     137.9      28.195     8.1648     
160        237.47     29.727     1.4349     140.89     28.922     7.9727     
161        237.47     29.99      0.70001    141.07     28.996     7.8625     
162        237.47     29.699     0.6667     141.2      28.956     8.0432     
163        237.47     30.468     0.64296    140.71     28.708     8.086      
164        237.47     30.292     0.64629    140.65     29.043     8.0504     
165        237.47     30.517     0.63848    140.36     29.06      8.0901     
166        237.47     30.422     0.63698    140.34     29.089     7.9692     
167        237.47     29.677     0.64652    140.68     28.998     7.8416     
168        237.47     29.564     0.63116    140.58     28.95      7.9734     
169        237.47     33.091     0.63234    137.37     28.417     7.7729     
170        237.47     31.631     0.61442    137.86     28.186     7.8829     
171        237.47     29.566     0.62056    137.81     28.205     7.8748     
172        237.47     30.382     0.6268     137.09     28.175     7.8767     
173        237.47     29.628     0.63482    137.75     28.248     7.8764     
