
* Processing the grid command...
* Setting nx to 601 to be consistent with h=50
* Setting ny to 601 to be consistent with h=50
* Setting nz to 341 to be consistent with h=50

Global grid sizes (without ghost points)
Grid         h        Nx        Ny        Nz       Points
   0        50       601       601       341    123169541
Total number of grid points (without ghost points): 1.2317e+08

Done reading input file 
 no GPUs found
----------------------------------------------------
 Making Output Directory: loh2-results/
		
... Done!
----------------------------------------------------
number of grid point  sources = 691200
number of unique g.p. sources = 82656
setup of sources done
Running on 256 MPI tasks
Using OpenMP with 1 thread per MPI task
starting at time 0 at cycle 1
Time step 1 t= 0.0083877
Time step 101 t= 0.847158
Time step 201 t= 1.68593
Time step 301 t= 2.5247
Time step 401 t= 3.36347
Time step 501 t= 4.20224
Time step 601 t= 5.04101
Time step 701 t= 5.87978
Time step 801 t= 6.71855
Time step 901 t= 7.55732
Writing ASCII USGS file, of size 1001: loh2-results/sta10.txt
Time step 1001 t= 8.39609
Time step 1073 t= 9
   Execution time, solver phase 4 minutes 58.2776 seconds 
Writing ASCII USGS file, of size 1074: loh2-results/sta10.txt

----------------------------------------
          Execution time summary 
Processor  Total      BC comm    BC phys    Scheme     Supergrid  Forcing 
90         297.91     118.6      0.69124    139.6      28.817     7.5586     
91         297.91     113.57     0.63919    141.34     28.791     7.3269     
92         297.91     108.77     0.62648    140.59     28.622     7.7761     
93         297.91     106.6      0.65631    141.77     28.675     7.6023     
94         297.91     72.602     0.62613    139.37     28.429     7.1481     
95         297.91     59.009     1.451      140.91     29.208     7.0287     
96         297.91     27.203     1.5109     142.75     29.081     8.1448     
97         297.91     23.379     0.73056    146.51     29.702     8.1061     
98         297.91     22.102     0.66839    147.59     29.793     8.2152     
99         297.91     23.101     0.66749    147.4      29.828     8.2186     
100        297.91     61.665     0.65063    146.89     29.609     7.266      
101        297.91     64.877     0.73789    145.79     29.858     7.6384     
102        297.91     109.79     0.63546    146.59     29.929     7.6032     
103        297.91     110.89     0.66333    146.18     29.877     7.7769     
104        297.91     111.5      0.66336    145.67     29.491     8.2794     
105        297.91     116.22     0.65795    142.05     28.879     8.2776     
106        297.91     118.45     0.70179    140.21     28.777     7.4539     
107        297.91     113.18     0.6338     142.15     28.81      7.2116     
108        297.91     108.58     0.62138    141.25     28.644     7.6169     
109        297.91     106.7      0.65738    142.1      28.72      7.4567     
110        297.91     73.469     0.62358    139.7      28.403     7.2105     
111        297.91     59.197     1.4552     141.73     29.236     7.1552     
112        297.91     31.18      1.4977     142.47     29.212     8.3253     
113        297.91     27.457     0.70028    146.13     29.899     8.3151     
114        297.91     27.509     0.67293    146.53     29.661     8.1156     
115        297.91     28.389     0.66443    146.56     29.698     8.1225     
116        297.91     64.708     0.64652    146.99     29.84      7.3582     
117        297.91     68.794     0.72809    146.05     29.865     7.6879     
118        297.91     113.6      0.70516    144.4      30.053     7.8632     
119        297.91     105.91     0.66357    143.54     29.741     17.096     
120        297.91     15.267     0.66135    135.1      29.013     117.08     
121        297.91     25.765     0.64933    132.77     28.42      109.91     
122        297.91     34.611     0.62712    131.92     27.706     102.13     
123        297.91     20.406     0.64484    133.36     27.682     110.99     
124        297.91     87.167     0.65705    139.64     28.672     32.462     
125        297.91     110.4      0.66031    139.6      29.248     7.2074     
126        297.91     76.861     0.61726    139.44     28.767     6.9883     
127        297.91     63.108     1.5344     142.38     29.08      7.0001     
128        297.91     30.415     1.5599     140.5      28.906     8.8597     
129        297.91     29.899     0.72238    141.68     28.915     8.748      
130        297.91     31.022     0.66141    141.15     28.979     8.0925     
131        297.91     31.773     0.6549     141.12     28.979     8.0954     
132        297.91     69.686     0.64341    141.23     29.125     7.2373     
133        297.91     73.712     0.72866    139.65     29.2       7.6199     
134        297.91     117.5      0.62515    140.53     29.254     7.4804     
135        297.91     119.19     0.66077    139.46     29.159     7.7663     
136        297.91     119.03     0.62677    139.71     29.008     8.0745     
137        297.91     123.05     0.64955    136.69     28.478     8.0631     
138        297.91     126.42     0.65573    133.84     28.005     7.4923     
139        297.91     121.28     0.62971    135.39     28.281     7.2271     
140        297.91     115.73     0.61578    135.47     27.999     7.712      
141        297.91     113.84     0.65532    136.4      28.083     7.4651     
142        297.91     81.517     0.61797    134.34     27.771     7.1147     
143        297.91     66.93      1.5123     136.62     28.517     7.1751     
144        297.91     27.494     1.5125     140.7      28.62      7.9664     
145        297.91     27.647     0.7018     141.08     28.711     7.9245     
146        297.91     26.655     0.64985    141.56     29.002     8.1556     
147        297.91     26.965     0.6494     141.76     28.932     8.154      
148        297.91     66.372     0.62774    140.7      29.053     7.1066     
149        297.91     70.196     0.72638    139.17     29.004     7.4354     
150        297.91     115.85     0.61137    140.56     28.778     7.5403     
151        297.91     117.23     0.63957    139.75     28.805     7.7451     
152        297.91     117.06     0.62016    139.91     28.774     8.0053     
153        297.91     121.8      0.63549    136.36     28.123     7.9392     
154        297.91     123.1      0.6603     134.81     28.325     7.4877     
155        297.91     118.12     0.61484    136.5      28.336     7.2232     
156        297.91     112.61     0.60433    136.64     27.945     7.6975     
157        297.91     111.48     0.63513    136.86     28         7.4344     
158        297.91     76.041     0.61331    135.02     28.451     7.1662     
159        297.91     62.333     1.4541     137.28     28.557     7.0865     
160        297.91     23.678     1.4722     140.24     28.88      7.9572     
161        297.91     23.194     0.69788    141.23     28.979     7.8672     
162        297.91     23.057     0.65348    141.17     28.847     8.2595     
163        297.91     23.202     0.65486    141.01     28.82      8.2754     
164        297.91     61.035     0.64395    141.57     28.838     8.0178     
165        297.91     61.68      0.64305    141.63     28.938     8.0693     
166        297.91     62.443     0.64813    141.13     28.807     8.2213     
167        297.91     63.437     0.643      140.57     28.854     8.2421     
168        297.91     63.992     0.64267    140.74     28.771     7.8297     
169        297.91     67.248     0.63595    138.24     28.308     7.5909     
170        297.91     66.846     0.61239    138.1      28.005     7.9011     
171        297.91     65.1       0.63152    138.07     28.072     7.875      
172        297.91     61.146     0.62167    138.37     27.993     7.8713     
173        297.91     59.924     0.62019    137.8      28.069     7.8712     
174        297.91     59.24      0.6414     138.13     28.228     7.9558     
175        297.91     58.219     1.4632     137.93     28.236     7.9749     
176        297.91     26.825     1.4864     140.15     28.725     8.0946     
177        297.91     26.647     0.71086    140.91     28.735     8.0084     
178        297.91     26.692     0.66185    141.14     28.706     7.8202     
179        297.91     27.158     0.65056    140.68     28.697     7.8653     
180        297.91     58.467     0.64304    142.09     28.855     7.591      
181        297.91     61.845     0.67763    141.21     29.013     7.853      
182        297.91     61.976     0.65805    141.25     28.85      7.9817     
183        297.91     62.033     0.67194    141.21     28.796     7.993      
184        297.91     62.424     0.65233    140.85     28.883     7.9499     
185        297.91     66.07      0.65929    137.85     28.244     7.7371     
186        297.91     66.078     0.62791    137.58     27.916     7.7032     
187        297.91     64.594     0.65084    138.01     27.99      7.5989     
188        297.91     60.416     0.65096    138.37     27.906     8.0174     
189        297.91     59.011     0.64033    138.37     27.974     7.8878     
190        297.91     59.663     0.63665    137.72     27.993     7.6228     
191        297.91     57.793     1.4882     138.02     28.017     7.5518     
192        297.91     26.493     1.705      140.76     28.799     8.9316     
193        297.91     26.526     0.75604    141.54     28.937     8.7775     
194        297.91     27.606     0.69517    141.4      28.765     8.0833     
195        297.91     28.111     0.69609    140.97     28.786     8.0669     
196        297.91     28.322     0.67973    141.01     28.862     8.1525     
197        297.91     29.24      0.72472    141        28.906     8.1965     
198        297.91     29.339     0.7026     141.18     28.774     8.1231     
199        297.91     30.173     0.69101    140.68     28.791     8.067      
200        297.91     29.073     0.70026    141.38     28.798     8.3664     
201        297.91     32.293     0.66628    138.3      28.228     8.1995     
202        297.91     32.47      0.65223    137.83     27.877     8.1925     
203        297.91     31.034     0.66116    138.05     27.864     8.0183     
204        297.91     29.173     0.70171    138.32     27.989     8.1825     
205        297.91     28.839     0.64577    139.12     28.046     7.661      
206        297.91     28.707     0.65956    138.49     27.992     8.0898     
207        297.91     27.223     1.5518     138.56     28.011     8.0243     
208        297.91     24.8       1.5877     141.19     28.919     8.4533     
209        297.91     25.543     0.73628    141.54     28.846     8.0562     
210        297.91     24.264     0.66587    142.57     28.991     8.2356     
211        297.91     24.247     0.6802     142.34     28.943     8.4476     
212        297.91     25.603     0.68041    141.35     28.758     8.1901     
213        297.91     25.242     0.6773     141.69     28.905     8.1929     
214        297.91     24.802     0.68994    141.99     28.87      8.513      
215        297.91     25.781     0.66928    141.4      28.818     8.6314     
216        297.91     25.706     0.67507    141.51     28.904     8.6395     
217        297.91     29.731     0.68234    138.22     28.241     8.4863     
218        297.91     29.391     0.65577    137.94     28.044     8.5627     
219        297.91     25.889     0.62883    139.67     28.031     7.4224     
220        297.91     25.04      0.62634    139.33     28.009     8.2536     
